iter	Passed	Remaining
611	1695	1075
612	1698	1072
613	1701	1069
614	1703	1066
615	1706	1063
616	1708	1060
617	1710	1057
618	1713	1054
619	1715	1051
620	1717	1048
621	1719	1044
622	1721	1041
623	1724	1038
624	1726	1035
625	1728	1032
626	1730	1029
627	1732	1026
628	1734	1023
629	1737	1020
630	1739	1017
631	1741	1013
632	1743	1010
633	1745	1007
634	1747	1004
635	1749	1001
636	1752	998
637	1755	995
638	1757	992
639	1759	989
640	1761	986
641	1763	983
642	1766	980
643	1768	977
644	1770	974
645	1772	971
646	1775	968
647	1777	965
648	1779	962
649	1781	959
650	1783	956
651	1786	953
652	1789	950
653	1791	947
654	1793	944
655	1795	941
656	1798	938
657	1800	935
658	1802	932
659	1805	929
660	1807	926
661	1809	923
662	1811	920
663	1813	917
664	1815	914
665	1818	911
666	1820	908
667	1822	905
668	1824	902
669	1826	899
670	1828	896
671	1831	893
672	1833	890
673	1836	888
674	1838	885
675	1841	882
676	1843	879
677	1845	876
678	1848	873
679	1851	871
680	1853	868
681	1855	865
682	1858	862
683	1861	859
684	1863	856
685	1866	854
686	1869	851
687	1871	848
688	1874	846
689	1876	843
690	1878	840
691	1880	837
692	1883	834
693	1886	831
694	1888	828
695	1891	825
696	1893	822
697	1895	820
698	1897	817
699	1900	814
700	1902	811
701	1904	808
702	1906	805
703	1908	802
704	1910	799
705	1912	796
706	1915	793
707	1917	790
708	1920	788
709	1922	785
710	1924	782
711	1926	779
712	1928	776
713	1930	773
714	1933	770
715	1935	767
716	1937	764
717	1940	762
718	1942	759
719	1944	756
720	1946	753
721	1949	750
722	1951	747
723	1954	744
724	1956	742
725	1958	739
726	1960	736
727	1963	733
728	1965	730
729	1968	727
730	1970	725
731	1972	722
732	1974	719
733	1977	716
734	1979	713
735	1981	710
736	1984	708
737	1986	705
738	1988	702
739	1991	699
740	1993	696
741	1995	693
742	1997	690
743	1999	688
744	2002	685
745	2004	682
746	2006	679
747	2008	676
748	2010	673
749	2013	671
750	2015	668
751	2017	665
752	2019	662
753	2021	659
754	2023	656
755	2025	653
756	2027	650
757	2030	648
758	2032	645
759	2034	642
760	2036	639
761	2039	636
762	2041	634
763	2043	631
764	2046	628
765	2048	625
766	2050	622
767	2052	620
768	2054	617
769	2057	614
770	2059	611
771	2061	608
772	2063	606
773	2066	603
774	2068	600
775	2070	597
776	2072	594
777	2075	592
778	2077	589
779	2080	586
780	2082	583
781	2084	581
782	2087	578
783	2089	575
784	2091	572
785	2093	570
786	2096	567
787	2098	564
788	2100	561
789	2103	559
790	2105	556
791	2107	553
792	2109	550
793	2112	547
794	2114	545
795	2116	542
796	2118	539
797	2120	536
798	2122	534
799	2125	531
800	2127	528
801	2129	525
802	2131	523
803	2133	520
804	2136	517
805	2138	514
806	2140	511
807	2142	509
808	2145	506
809	2147	503
810	2149	500
811	2151	498
812	2153	495
813	2155	492
814	2157	489
815	2160	487
816	2162	484
817	2164	481
818	2166	478
819	2168	476
820	2171	473
821	2173	470
822	2175	467
823	2177	465
824	2180	462
825	2182	459
826	2184	456
827	2186	454
828	2188	451
